Unnamed: 0,User,Tweet,Time,Location,Label,Label_name
0,PakStartup,Ogr 1 مارچ 2023 تي 12 رپيا تي ايل پي جي پيٽروليم جون قيمتون گهٽايو,01/03/2023 8:10,Pakistan,0,FAKE
1,PakStartup, ارو ۽ گئس ريگيوليٽري اٿارٽي ايريز اوگرا  روپيا پيٽروليم گيس ايل پي ايل جي قيمت حاصل نه ڪئي,01/03/2023 8:10,Pakistan,1,TRUE
2,,تيل ۽ گئس ريگيوليٽري اٿارٽي ايري ايري 1 مارچ 2023 روپيا پيٽروليم گئس لائيم پاران 1523 روپيا,,,0,
3,,موڊ جي سرپرست ڪارپور سروس ڪئاللينڊ 2 کان CAA3 تائين پاڪستان جي مقامي ۽ پرڏيهي کان وڌيڪ آهن,,,0,
4,PakStartup,موڊز سيڙپڪارن جي خدمت جي نگراني واري علائقي جي قيادت کي پاڪستاني جي خارشين جي ادائيگي ۽ پرڏيهي مٽا سٽا واري ريزنيٽ جي وڪري ۾ واڌ جي قرضن ۾ واڌارو ڪيو آهي,01/03/2023 7:40,Pakistan,1,
5,PakStartup,موڊي سيڙپريس جي نگراني واري هنڌن تي ڊويزنن جي بي ترتيبي رزائن جي ادائيگي ۽ غير متوقع قرضن جي واپسي جي خطري ۾ اضافو آهي,01/03/2023 7:10,Pakistan,1,
6,PakStartup,پاڪستان جو وڏي تعداد کي پنجاب قرار ڏنسن تي پاڪستان آمريڪا کي پنجاب جي اليڪشن ڪميشن ۾ چونڊون جو حڪم ڪيو,01/03/2023 7:01,Pakistan,1,
7,PakStartup,هببس العز العز پاڪستان ۾ زميني بازي آهي ته هڪ پهريون ڀيرو هائڪڪ زڪبين مهمان مهمان مهمان هبسينٽيز کي ان سبب جي ايم ڪيوسينٽيز جي حمايت ڪرڻ جي حمايت ڪئي وئي آهي,01/03/2023 6:56,Pakistan,1,
8,PakStartup,36 سال جوڙ هندستاني سونهري سان سعيوي شاخري سامونڊي شئي کي دست عبرت ۾ آئي هئي,28/02/2023 18:25,Pakistan,1,
9,PakStartup,ا   ارو وزير فني ڊار ا   ارو ڊار ڊار ۾ 5 ليٽر پيٽرول پيٽرول جي قيمت ۾ 5 روپين جي گهٽتائي جو اعلان ڪيو,28/02/2023 18:10,Pakistan,1,
10,PakStartup,ا ٺهڻه حبيڪي حقق بار بار س علي واپس محمد هينشل جي صدارتي في ڏينهن لاء هدايت ڪئي جو ڏينهن اونواز ۽ زرداري جي وهڪري جي دور ۾ ردي جو ٻاهر,28/02/2023 17:50,Pakistan,1,
11,PakStartup,پاڪستاني چوڪيا طالبان جي شڪاڪي شخا خان جوبلا خانو جيڪا ڪپا تي ڪپبري داؤا وڏي مني آهي,28/02/2023 17:30,Pakistan,1,
12,PakStartup,ڪابينا ڊاٽ 2022 ع ۾ وزيرن کي 2022 ع ۾ وزيرن جو خرچ جاري ڪيو ويو آهي صحت جي ادرا پيٽيل خرچ ڪيو,28/02/2023 16:51,Pakistan,1,
13,PakStartup,سامننيفا پاڪستان ا world سنوهوپ S23 L33 L23 U23 U23 Alts S23 Alts سان گڏ GATYXY S23 UP حاصل ڪريو ۽ مفت گليڪس باسس 2 حاصل ڪريو,28/02/2023 16:30,Pakistan,1,
14,PakStartup,ٻبانتيجناني جیيٽ جو خاص شخص ڏينهن ان جي چيئر آپٽليشن ان جي ٻيٽن ۾ خاص طور تي ڳوٺن جي ڳوٺن ۾ ڳوٺن کي خاص طور تي ڳوٺن جي ڳوٺن ۾ خاص طور تي ڳوٺن جي ڳوٺن ۾ ڳوٺن فراهم ڪري رهيا,28/02/2023 15:50,Pakistan,1,
